person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
24,38254,MORTGAGE,5.0,PERSONAL,B,1848,12.05,0,0.05,N,2
23,22269,RENT,7.0,DEBTCONSOLIDATION,C,6503,14.88,0,0.29,N,3
26,13951,MORTGAGE,4.0,PERSONAL,C,6301,16.74,0,0.45,N,3
36,11090,OTHER,1.0,EDUCATION,B,35000,11.62,1,0.83,N,2
22,14111,RENT,1.0,PERSONAL,B,3787,10.65,0,0.27,N,2
33,27331,OWN,4.0,PERSONAL,B,6792,,0,0.25,Y,3
20,26608,OWN,14.0,PERSONAL,D,4319,20.21,0,0.16,N,4
25,14181,OWN,4.0,MEDICAL,B,3789,11.09,0,0.27,N,2
28,8000,RENT,6.0,MEDICAL,B,4461,10.68,1,0.56,N,10
31,27750,MORTGAGE,0.0,DEBTCONSOLIDATION,C,4306,,0,0.16,N,7
31,13443,RENT,4.0,VENTURE,B,3154,11.71,1,0.23,N,9
32,32176,MORTGAGE,3.0,HOMEIMPROVEMENT,B,5928,10.44,0,0.18,Y,4
25,14532,MORTGAGE,0.0,MEDICAL,A,2625,5.45,0,0.18,N,8
24,12793,RENT,2.0,EDUCATION,E,3716,18.99,0,0.29,N,6
32,23962,OTHER,5.0,HOMEIMPROVEMENT,D,18864,15.67,1,0.79,N,8
26,80558,MORTGAGE,16.0,MEDICAL,D,4531,16.77,0,0.06,N,2
20,33255,OWN,1.0,HOMEIMPROVEMENT,A,9142,6.08,0,0.27,Y,10
20,23740,OTHER,3.0,PERSONAL,B,4659,10.73,0,0.2,N,6
22,26832,MORTGAGE,2.0,EDUCATION,E,8415,19.77,1,0.31,Y,5
30,8407,RENT,2.0,EDUCATION,E,4348,20.4,0,0.52,N,11
28,11881,OWN,5.0,EDUCATION,A,804,5.56,0,0.07,Y,4
31,8000,OWN,24.0,VENTURE,A,4809,,0,0.6,Y,4
25,57035,MORTGAGE,4.0,HOMEIMPROVEMENT,B,2437,12.87,0,0.04,N,11
28,51024,MORTGAGE,8.0,HOMEIMPROVEMENT,A,3983,7.81,0,0.08,N,4
31,27338,RENT,2.0,HOMEIMPROVEMENT,A,7956,8.1,1,0.29,N,4
25,23725,RENT,2.0,HOMEIMPROVEMENT,B,17526,9.3,1,0.74,N,2
30,9382,RENT,0.0,HOMEIMPROVEMENT,A,1833,6.12,0,0.2,N,2
23,19523,MORTGAGE,2.0,VENTURE,C,4157,13.29,1,0.21,N,9
25,59030,RENT,27.0,HOMEIMPROVEMENT,B,4973,8.87,0,0.08,N,6
25,23677,RENT,10.0,EDUCATION,A,5085,,0,0.21,N,2
20,16146,RENT,6.0,DEBTCONSOLIDATION,D,5109,20.41,1,0.32,N,3
30,8375,MORTGAGE,1.0,MEDICAL,B,7290,11.16,0,0.83,N,2
24,47059,RENT,4.0,EDUCATION,E,3617,22.3,1,0.08,N,7
27,21193,RENT,8.0,MEDICAL,A,4277,9.2,0,0.2,Y,7
30,8381,RENT,4.0,HOMEIMPROVEMENT,C,6476,12.58,1,0.77,Y,3
30,13248,RENT,,VENTURE,B,3013,11.05,0,0.23,N,2
31,10909,RENT,8.0,PERSONAL,E,3249,19.4,1,0.3,N,2
27,20486,RENT,10.0,EDUCATION,A,4691,8.4,0,0.23,N,11
25,24687,MORTGAGE,4.0,HOMEIMPROVEMENT,B,3249,11.71,0,0.13,N,4
27,16701,RENT,1.0,VENTURE,A,2478,9.5,0,0.15,N,8
20,33771,RENT,9.0,PERSONAL,D,2283,17.31,0,0.07,Y,2
20,23002,OWN,3.0,HOMEIMPROVEMENT,B,4767,12.24,1,0.21,Y,4
20,39508,RENT,6.0,VENTURE,B,12825,10.03,0,0.32,N,2
21,18097,RENT,8.0,EDUCATION,C,6468,11.8,0,0.36,N,8
30,117586,RENT,2.0,EDUCATION,B,2523,12.01,0,0.02,N,8
22,16147,RENT,4.0,EDUCATION,A,14527,7.22,1,0.83,N,9
25,13402,OWN,1.0,VENTURE,B,3460,11.83,0,0.26,N,2
35,12525,OTHER,4.0,DEBTCONSOLIDATION,B,14927,13.12,0,0.83,N,6
25,19613,RENT,,DEBTCONSOLIDATION,B,4666,11.5,1,0.24,N,2
32,8554,OWN,12.0,VENTURE,A,5921,,0,0.69,N,6
22,25900,MORTGAGE,19.0,EDUCATION,D,3804,18.53,0,0.15,N,8
26,8000,RENT,1.0,PERSONAL,C,3987,13.78,0,0.5,N,4
21,24074,MORTGAGE,,MEDICAL,C,12933,13.1,1,0.54,Y,5
25,10475,OWN,9.0,MEDICAL,B,4334,13.97,1,0.41,N,2
32,17859,MORTGAGE,3.0,VENTURE,B,9509,11.58,0,0.53,N,2
20,30714,MORTGAGE,16.0,DEBTCONSOLIDATION,C,5080,14.43,0,0.17,N,2
30,78215,RENT,8.0,PERSONAL,F,4532,21.53,1,0.06,Y,2
29,12174,MORTGAGE,3.0,EDUCATION,B,7606,11.37,1,0.62,Y,9
24,20278,RENT,4.0,MEDICAL,C,4524,14.48,0,0.22,N,2
20,14793,MORTGAGE,1.0,EDUCATION,C,2831,12.6,0,0.19,N,5
28,13651,RENT,0.0,PERSONAL,C,2890,15.11,0,0.21,N,9
24,14864,RENT,2.0,MEDICAL,A,7371,,0,0.5,Y,7
29,34656,RENT,8.0,PERSONAL,D,1046,13.68,1,0.03,N,16
27,16840,MORTGAGE,2.0,EDUCATION,B,6395,10.21,0,0.38,N,8
37,75896,MORTGAGE,4.0,DEBTCONSOLIDATION,B,1796,12.45,0,0.02,N,4
26,27688,MORTGAGE,1.0,MEDICAL,B,5554,9.65,1,0.2,N,2
21,12638,RENT,0.0,PERSONAL,E,12544,23.22,1,0.83,N,10
28,18003,RENT,8.0,HOMEIMPROVEMENT,C,2646,14.72,1,0.15,N,3
29,14171,RENT,2.0,PERSONAL,A,7092,10.35,0,0.5,N,2
35,34201,RENT,2.0,EDUCATION,A,10796,5.42,0,0.32,Y,2
32,8943,RENT,1.0,DEBTCONSOLIDATION,C,3284,12.18,0,0.37,N,2
29,10535,MORTGAGE,0.0,HOMEIMPROVEMENT,E,3124,19.64,0,0.3,N,4
36,15909,MORTGAGE,4.0,EDUCATION,B,6390,,0,0.4,Y,3
20,32068,RENT,11.0,VENTURE,C,11789,13.32,0,0.37,N,6
23,43398,RENT,4.0,MEDICAL,B,24286,13.38,0,0.56,N,14
22,47065,MORTGAGE,7.0,DEBTCONSOLIDATION,A,2926,6.54,0,0.06,N,6
25,29477,MORTGAGE,8.0,MEDICAL,B,7733,8.61,0,0.26,N,12
20,21044,MORTGAGE,1.0,VENTURE,B,3511,11.45,0,0.17,N,4
31,34099,OWN,4.0,PERSONAL,C,2229,15.98,1,0.07,N,4
26,11737,RENT,3.0,EDUCATION,A,4172,5.42,0,0.36,N,2
20,8000,RENT,10.0,PERSONAL,A,4181,5.42,0,0.52,N,10
21,28005,MORTGAGE,12.0,MEDICAL,B,5221,,1,0.19,N,2
29,12668,MORTGAGE,7.0,MEDICAL,D,6588,15.2,1,0.52,Y,8
32,21249,MORTGAGE,13.0,EDUCATION,B,5783,10.75,0,0.27,N,2
39,23524,RENT,2.0,EDUCATION,C,11505,16.16,1,0.49,N,3
45,25247,OWN,4.0,MEDICAL,B,18301,10.43,0,0.72,N,6
30,36893,RENT,2.0,PERSONAL,A,4968,7.69,0,0.13,N,4
21,34809,MORTGAGE,8.0,HOMEIMPROVEMENT,A,3482,7.79,0,0.1,N,2
20,24520,RENT,0.0,HOMEIMPROVEMENT,B,4274,,0,0.17,Y,6
29,17272,MORTGAGE,1.0,MEDICAL,B,4182,,0,0.24,N,8
22,23371,RENT,6.0,DEBTCONSOLIDATION,B,3248,12.49,1,0.14,N,2
25,15868,RENT,1.0,VENTURE,C,1721,14.07,0,0.11,N,7
24,19770,RENT,1.0,MEDICAL,D,1913,17.31,0,0.1,N,10
26,92966,OWN,15.0,MEDICAL,D,7931,,0,0.09,N,9
34,24347,MORTGAGE,5.0,PERSONAL,B,8307,10.81,0,0.34,N,5
28,28215,OTHER,0.0,EDUCATION,B,6171,11.29,1,0.22,N,4
26,14942,MORTGAGE,9.0,MEDICAL,C,4148,12.32,1,0.28,Y,8
21,38601,OWN,5.0,PERSONAL,B,3451,11.58,0,0.09,Y,5
20,33461,MORTGAGE,0.0,HOMEIMPROVEMENT,D,1880,15.5,0,0.06,N,10
24,33592,RENT,6.0,PERSONAL,D,3114,20.49,0,0.09,N,15
27,24789,MORTGAGE,2.0,EDUCATION,B,2944,11.92,0,0.12,N,2
38,38902,MORTGAGE,4.0,MEDICAL,B,1826,11.42,0,0.05,N,7
28,44330,OWN,6.0,PERSONAL,A,5723,5.42,0,0.13,Y,5
33,25737,RENT,1.0,EDUCATION,B,2930,12.66,1,0.11,Y,2
24,20680,RENT,7.0,MEDICAL,B,5056,10.29,0,0.24,N,7
20,36026,RENT,2.0,PERSONAL,E,1745,20.91,0,0.05,N,5
21,13396,MORTGAGE,5.0,PERSONAL,B,7415,10.0,0,0.55,N,9
23,14840,MORTGAGE,6.0,PERSONAL,B,6637,8.13,0,0.45,Y,9
40,21390,OWN,1.0,MEDICAL,B,3431,13.31,0,0.16,N,6
22,8452,RENT,3.0,HOMEIMPROVEMENT,A,12853,7.87,0,0.83,Y,9
32,34723,MORTGAGE,0.0,HOMEIMPROVEMENT,C,4644,13.41,1,0.13,N,2
22,12970,RENT,5.0,EDUCATION,A,5404,9.95,0,0.42,N,5
33,16995,RENT,1.0,VENTURE,B,1646,10.97,0,0.1,N,10
30,19588,MORTGAGE,9.0,DEBTCONSOLIDATION,D,2841,18.81,0,0.15,N,9
26,22507,RENT,7.0,EDUCATION,C,3116,11.55,0,0.14,Y,5
27,18233,RENT,1.0,DEBTCONSOLIDATION,A,8496,6.51,0,0.47,N,7
23,21225,RENT,11.0,HOMEIMPROVEMENT,B,9648,10.56,0,0.45,N,2
30,21315,RENT,3.0,PERSONAL,D,3297,15.52,1,0.15,N,11
24,17225,MORTGAGE,1.0,EDUCATION,A,5537,5.67,0,0.32,N,9
20,14396,MORTGAGE,0.0,DEBTCONSOLIDATION,A,8952,7.22,0,0.62,N,6
20,39927,OTHER,5.0,PERSONAL,B,3873,10.74,0,0.1,N,7
28,8000,MORTGAGE,5.0,PERSONAL,B,1766,10.71,0,0.22,N,7
37,19670,RENT,1.0,EDUCATION,B,8083,10.23,1,0.41,N,8
28,17019,RENT,2.0,PERSONAL,E,6617,21.53,1,0.39,N,4
26,27731,MORTGAGE,0.0,PERSONAL,C,6025,12.13,0,0.22,N,8
29,9898,RENT,1.0,EDUCATION,F,9621,23.08,1,0.83,N,13
35,16732,OTHER,10.0,HOMEIMPROVEMENT,F,10191,22.32,1,0.61,N,9
29,20820,RENT,9.0,EDUCATION,A,7591,6.2,0,0.36,N,4
25,39677,OWN,11.0,HOMEIMPROVEMENT,A,2165,5.42,0,0.05,N,4
34,26441,MORTGAGE,7.0,DEBTCONSOLIDATION,D,1704,16.94,0,0.06,N,6
30,11488,MORTGAGE,2.0,MEDICAL,E,6281,19.08,0,0.55,N,11
36,16846,MORTGAGE,1.0,DEBTCONSOLIDATION,C,5144,14.42,1,0.31,Y,7
28,35858,OWN,1.0,MEDICAL,A,5422,11.61,1,0.15,Y,2
20,11379,RENT,10.0,PERSONAL,A,16052,7.26,0,0.83,N,2
20,21094,OWN,1.0,PERSONAL,F,9342,23.22,1,0.44,N,2
37,21916,MORTGAGE,4.0,MEDICAL,A,4320,5.82,0,0.2,N,8
38,17815,OWN,2.0,DEBTCONSOLIDATION,E,2935,20.26,1,0.16,Y,2
26,97019,MORTGAGE,0.0,PERSONAL,B,7719,10.83,0,0.08,N,10
25,17553,RENT,8.0,MEDICAL,E,6793,18.76,1,0.39,N,12
36,28208,RENT,5.0,HOMEIMPROVEMENT,A,4227,5.63,0,0.15,Y,9
21,14451,MORTGAGE,12.0,DEBTCONSOLIDATION,F,724,23.22,1,0.05,N,2
22,29444,RENT,5.0,DEBTCONSOLIDATION,B,2512,9.99,0,0.09,N,2
31,35558,MORTGAGE,12.0,PERSONAL,D,8894,15.59,1,0.25,N,4
25,15940,OWN,3.0,PERSONAL,A,1989,8.98,0,0.12,N,3
27,21373,MORTGAGE,1.0,EDUCATION,A,7371,9.29,0,0.34,N,2
26,13461,RENT,2.0,EDUCATION,A,6704,5.61,0,0.5,N,2
29,11737,RENT,1.0,HOMEIMPROVEMENT,C,2455,15.59,0,0.21,N,6
36,38957,MORTGAGE,14.0,VENTURE,A,9227,,0,0.24,N,3
28,16241,MORTGAGE,5.0,DEBTCONSOLIDATION,C,4648,12.57,0,0.29,N,4
31,8000,OWN,4.0,EDUCATION,A,4429,5.42,0,0.55,N,8
20,58159,RENT,8.0,EDUCATION,C,2197,13.25,1,0.04,N,2
27,14169,RENT,1.0,EDUCATION,B,12189,11.0,0,0.83,N,2
22,19235,MORTGAGE,2.0,EDUCATION,E,2133,18.11,0,0.11,N,3
20,54311,MORTGAGE,1.0,HOMEIMPROVEMENT,B,2116,10.34,0,0.04,N,4
22,20374,MORTGAGE,2.0,VENTURE,E,5426,,1,0.27,Y,3
25,20133,MORTGAGE,0.0,HOMEIMPROVEMENT,C,2474,14.35,1,0.12,N,5
33,11209,OWN,,HOMEIMPROVEMENT,A,20901,7.17,1,0.83,N,4
20,8962,MORTGAGE,,PERSONAL,D,2461,19.08,0,0.27,N,11
27,20100,MORTGAGE,8.0,EDUCATION,B,8563,8.37,0,0.43,N,2
24,26890,MORTGAGE,27.0,VENTURE,C,15522,15.7,1,0.58,N,6
25,26056,MORTGAGE,2.0,EDUCATION,B,8110,,0,0.31,N,4
33,16904,RENT,1.0,PERSONAL,D,2896,16.19,1,0.17,N,5
30,22273,MORTGAGE,3.0,PERSONAL,B,6250,10.44,1,0.28,Y,4
35,8018,MORTGAGE,4.0,DEBTCONSOLIDATION,A,12691,7.49,1,0.83,N,9
26,28370,MORTGAGE,2.0,HOMEIMPROVEMENT,E,1720,21.51,1,0.06,Y,7
23,24071,RENT,2.0,EDUCATION,B,10596,7.92,0,0.44,N,2
26,65219,RENT,0.0,VENTURE,C,6931,,0,0.11,N,10
29,22117,MORTGAGE,4.0,PERSONAL,E,18453,20.65,1,0.83,N,7
28,13115,MORTGAGE,11.0,PERSONAL,A,6633,7.1,0,0.51,N,4
21,21420,RENT,1.0,EDUCATION,B,5467,11.03,0,0.26,N,8
28,18392,RENT,8.0,EDUCATION,A,7931,,0,0.43,N,3
29,27975,MORTGAGE,5.0,DEBTCONSOLIDATION,E,2063,19.25,1,0.07,N,6
42,22354,OTHER,0.0,PERSONAL,E,2776,19.41,1,0.12,N,2
38,11015,RENT,5.0,MEDICAL,E,5159,18.66,1,0.47,N,8
22,8958,RENT,20.0,HOMEIMPROVEMENT,B,3406,12.66,1,0.38,N,7
25,25453,RENT,9.0,PERSONAL,B,3203,10.44,0,0.13,N,5
20,47132,RENT,1.0,MEDICAL,E,20466,18.71,0,0.43,N,7
24,23009,RENT,5.0,EDUCATION,E,17253,22.94,1,0.75,N,2
29,34451,OWN,3.0,EDUCATION,A,829,7.67,0,0.02,N,9
34,38447,MORTGAGE,0.0,EDUCATION,A,5054,7.24,0,0.13,N,2
23,25507,RENT,3.0,HOMEIMPROVEMENT,B,2134,10.8,0,0.08,N,12
23,14073,RENT,7.0,MEDICAL,D,10997,15.99,0,0.78,N,5
20,24524,OTHER,9.0,PERSONAL,B,5743,9.74,1,0.23,N,2
26,42782,RENT,2.0,EDUCATION,A,13705,5.42,0,0.32,N,14
21,29479,MORTGAGE,1.0,HOMEIMPROVEMENT,D,2689,16.5,0,0.09,N,8
24,33240,RENT,1.0,VENTURE,B,2527,8.73,0,0.08,N,2
22,17078,MORTGAGE,15.0,DEBTCONSOLIDATION,A,4216,,1,0.25,N,6
27,19706,MORTGAGE,7.0,HOMEIMPROVEMENT,C,3235,12.99,0,0.16,N,9
20,20634,RENT,12.0,PERSONAL,D,4606,18.28,1,0.22,N,2
20,21413,MORTGAGE,1.0,PERSONAL,C,11280,12.75,0,0.53,N,6
40,41872,MORTGAGE,3.0,MEDICAL,G,6816,23.22,1,0.16,N,5
20,8000,RENT,,EDUCATION,E,3993,17.89,1,0.5,Y,5
21,22399,MORTGAGE,0.0,MEDICAL,A,5103,6.04,1,0.23,Y,2
38,21084,RENT,8.0,VENTURE,B,1623,10.22,0,0.08,N,4
45,10359,RENT,0.0,EDUCATION,A,1252,7.37,0,0.12,N,2
20,31871,OTHER,1.0,DEBTCONSOLIDATION,C,11473,12.11,1,0.36,Y,7
25,14787,RENT,1.0,MEDICAL,C,2884,16.17,0,0.2,N,3
29,18099,RENT,3.0,VENTURE,C,13409,13.96,0,0.74,Y,6
38,60890,RENT,5.0,EDUCATION,B,3965,10.9,0,0.07,N,5
21,38387,OTHER,15.0,VENTURE,A,5399,,0,0.14,N,6
26,30211,RENT,1.0,DEBTCONSOLIDATION,B,8790,11.46,0,0.29,N,3
32,27158,RENT,4.0,PERSONAL,B,9540,12.64,1,0.35,Y,5
30,20119,MORTGAGE,1.0,EDUCATION,B,3428,9.6,0,0.17,Y,6
25,66148,MORTGAGE,7.0,VENTURE,A,5165,6.09,0,0.08,N,11
26,34241,OWN,1.0,HOMEIMPROVEMENT,E,4852,19.6,1,0.14,Y,6
20,14584,OTHER,0.0,VENTURE,B,6405,10.52,0,0.44,Y,8
26,10197,RENT,1.0,EDUCATION,C,5626,12.57,0,0.55,N,8
26,30084,MORTGAGE,2.0,VENTURE,A,2948,7.59,0,0.1,N,5
29,21359,MORTGAGE,0.0,VENTURE,E,5456,21.76,1,0.26,N,8
24,10037,RENT,2.0,PERSONAL,D,1764,16.89,0,0.18,N,7
30,27881,MORTGAGE,12.0,MEDICAL,B,4925,,1,0.18,N,2
33,18996,OWN,2.0,MEDICAL,A,5339,5.42,0,0.28,N,8
28,29491,RENT,4.0,EDUCATION,D,2474,20.63,0,0.08,N,9
29,28084,RENT,2.0,EDUCATION,C,4034,13.34,0,0.14,N,7
28,15763,RENT,0.0,HOMEIMPROVEMENT,D,3430,,0,0.22,N,2
27,31196,MORTGAGE,3.0,PERSONAL,B,3476,8.5,0,0.11,N,2
23,16749,RENT,2.0,EDUCATION,E,8352,18.86,1,0.5,N,2
29,17359,MORTGAGE,21.0,VENTURE,C,6792,15.61,0,0.39,Y,7
27,16436,RENT,6.0,EDUCATION,B,9632,9.68,1,0.59,N,9
40,41029,OTHER,1.0,PERSONAL,D,21052,15.76,1,0.51,Y,2
37,18876,MORTGAGE,0.0,DEBTCONSOLIDATION,B,10595,11.54,0,0.56,Y,4
30,46856,RENT,1.0,MEDICAL,B,1676,10.01,0,0.04,N,5
23,58742,RENT,5.0,EDUCATION,B,3106,11.81,0,0.05,N,6
21,14672,MORTGAGE,1.0,PERSONAL,B,12574,10.0,0,0.83,N,2
34,8000,RENT,2.0,PERSONAL,C,3727,13.84,0,0.47,N,5
29,39123,RENT,2.0,HOMEIMPROVEMENT,A,3558,7.97,0,0.09,N,6
30,18249,MORTGAGE,2.0,EDUCATION,B,6209,10.31,0,0.34,N,5
20,13678,MORTGAGE,1.0,PERSONAL,B,4026,9.11,0,0.29,N,6
33,15933,MORTGAGE,1.0,DEBTCONSOLIDATION,B,16261,10.34,0,0.83,Y,5
30,17533,MORTGAGE,3.0,VENTURE,A,4389,5.51,0,0.25,N,6
21,44956,OWN,0.0,HOMEIMPROVEMENT,C,26589,13.26,1,0.59,N,2
24,24051,MORTGAGE,6.0,VENTURE,C,3320,14.01,0,0.14,N,5
29,44621,RENT,1.0,DEBTCONSOLIDATION,E,3102,20.01,1,0.07,Y,3
28,28906,MORTGAGE,2.0,EDUCATION,C,2738,15.35,0,0.09,N,6
25,18581,MORTGAGE,4.0,PERSONAL,C,2833,12.82,0,0.15,N,5
27,17770,OWN,,PERSONAL,B,8155,10.97,0,0.46,N,3
26,29997,OTHER,5.0,PERSONAL,A,1918,9.05,0,0.06,N,4
28,34587,RENT,1.0,HOMEIMPROVEMENT,B,2433,11.49,0,0.07,N,4
36,38110,MORTGAGE,16.0,VENTURE,B,7070,12.42,0,0.19,N,4
20,19075,OWN,4.0,PERSONAL,B,1076,,1,0.06,N,2
26,24254,RENT,6.0,PERSONAL,B,1753,12.2,0,0.07,N,10
28,30370,RENT,5.0,VENTURE,A,4739,6.72,0,0.16,N,4
29,17833,MORTGAGE,4.0,EDUCATION,B,6539,,1,0.37,N,8
25,11799,RENT,8.0,HOMEIMPROVEMENT,A,3884,7.97,0,0.33,N,2
20,14137,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6667,14.55,1,0.47,N,6
29,19291,OWN,5.0,HOMEIMPROVEMENT,C,2690,14.06,0,0.14,N,4
38,31704,MORTGAGE,10.0,PERSONAL,C,14181,12.58,1,0.45,N,2
20,44021,MORTGAGE,11.0,VENTURE,C,9299,16.33,0,0.21,N,11
32,10448,RENT,5.0,MEDICAL,C,2779,15.19,1,0.27,N,11
25,15858,RENT,2.0,HOMEIMPROVEMENT,D,4307,16.05,1,0.27,N,7
27,18091,MORTGAGE,2.0,EDUCATION,A,1242,9.13,0,0.07,N,9
21,34101,RENT,,VENTURE,E,9421,22.05,1,0.28,N,7
25,16474,OWN,8.0,MEDICAL,B,2007,10.7,0,0.12,N,4
35,17389,RENT,1.0,MEDICAL,C,3370,12.72,1,0.19,N,2
31,10131,RENT,7.0,EDUCATION,A,4003,7.71,0,0.4,N,2
38,28735,OTHER,2.0,PERSONAL,A,1875,,1,0.07,N,3
34,20155,MORTGAGE,4.0,HOMEIMPROVEMENT,E,2743,23.22,0,0.14,N,14
30,15371,MORTGAGE,2.0,PERSONAL,A,6378,5.45,0,0.41,N,2
38,19096,RENT,6.0,EDUCATION,B,3468,13.35,0,0.18,N,4
30,40939,OTHER,10.0,MEDICAL,A,9047,6.39,0,0.22,Y,6
32,12674,MORTGAGE,4.0,EDUCATION,A,8259,6.65,0,0.65,Y,7
25,13864,MORTGAGE,8.0,VENTURE,G,2712,23.22,0,0.2,N,4
28,43859,RENT,2.0,EDUCATION,C,3577,14.18,0,0.08,N,4
23,22963,RENT,3.0,MEDICAL,C,3578,12.69,0,0.16,N,15
33,31836,MORTGAGE,3.0,PERSONAL,B,3704,10.65,1,0.12,Y,3
20,27473,MORTGAGE,3.0,EDUCATION,A,13799,5.42,0,0.5,N,15
32,21602,RENT,6.0,MEDICAL,C,5620,,0,0.26,N,4
26,18186,RENT,6.0,HOMEIMPROVEMENT,A,1538,6.66,0,0.08,N,6
34,34799,OWN,4.0,PERSONAL,B,3107,12.95,0,0.09,N,8
32,41742,OTHER,12.0,EDUCATION,B,3556,11.37,0,0.09,N,4
38,39986,MORTGAGE,8.0,EDUCATION,A,6610,6.74,0,0.17,N,2
32,11475,MORTGAGE,1.0,PERSONAL,E,17352,23.22,1,0.83,N,6
20,45147,MORTGAGE,7.0,EDUCATION,C,8528,10.51,0,0.19,Y,2
27,18090,MORTGAGE,3.0,DEBTCONSOLIDATION,A,4575,7.41,0,0.25,N,2
20,14541,OWN,10.0,EDUCATION,B,2709,9.67,0,0.19,N,7
